nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS238SB_A06,100,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,27.240820410205103,0.6873729121317873,18.72460205422171
panel_HansolTechnicsCo__LtdHS238SB_A06,100,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,27.72726363181591,0.6872741068067579,19.056230346751782
panel_HansolTechnicsCo__LtdHS238SB_A06,100,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.194997498749373,0.687633877977719,19.38783546963712
panel_HansolTechnicsCo__LtdHS238SB_A06,100,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.68144072036018,0.6875308769820999,19.719376091579345
panel_HansolTechnicsCo__LtdHS238SB_A06,100,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.149174587293647,0.6878706262263019,20.050860977341486
panel_HansolTechnicsCo__LtdHS238SB_A06,100,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.635617808904453,0.6877641183222838,20.382314553277343
panel_HansolTechnicsCo__LtdHS238SB_A06,100,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.12206103051526,0.6876586506642325,20.713695843469782
panel_HansolTechnicsCo__LtdHS238SB_A06,100,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.589794897448723,0.6879763350486113,21.045054983435485
panel_HansolTechnicsCo__LtdHS238SB_A06,100,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.07623811905953,0.6878679863236337,21.376349337471222
panel_HansolTechnicsCo__LtdHS238SB_A06,100,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.543971985992997,0.6881696899072359,21.707605420043336
panel_HansolTechnicsCo__LtdHS238SB_A06,200,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.194997498749373,1.4822780326907525,41.79282542416691
panel_HansolTechnicsCo__LtdHS238SB_A06,200,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.700150075037516,1.4842768555987222,42.598968508588115
panel_HansolTechnicsCo__LtdHS238SB_A06,200,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.205302651325663,1.4862741893896756,43.40708752397919
panel_HansolTechnicsCo__LtdHS238SB_A06,200,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.710455227613807,1.4882701090393673,44.21718244121004
panel_HansolTechnicsCo__LtdHS238SB_A06,200,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.21560780390195,1.490264684575041,45.02925323312508
panel_HansolTechnicsCo__LtdHS238SB_A06,200,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.720760380190093,1.4922579814769334,45.84329987437902
panel_HansolTechnicsCo__LtdHS238SB_A06,200,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.2072036018009,1.4951459727815104,46.65932478700526
panel_HansolTechnicsCo__LtdHS238SB_A06,200,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.712356178089042,1.4971239875449307,47.47732913578579
panel_HansolTechnicsCo__LtdHS238SB_A06,200,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.217508754377185,1.4991012998446906,48.29730925144454
panel_HansolTechnicsCo__LtdHS238SB_A06,200,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.72266133066533,1.501077941653558,49.11926511566159
panel_HansolTechnicsCo__LtdHS238SB_A06,300,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.569184592296146,2.2802246895342284,65.14416006721454
panel_HansolTechnicsCo__LtdHS238SB_A06,300,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.09304652326163,2.2836806465434143,66.43922729415975
panel_HansolTechnicsCo__LtdHS238SB_A06,300,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.598199099549774,2.2885991344091914,67.73841283930052
panel_HansolTechnicsCo__LtdHS238SB_A06,300,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.12206103051526,2.2920685131882115,69.04182764037768
panel_HansolTechnicsCo__LtdHS238SB_A06,300,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.64592296148074,2.295552206175543,70.34931606451285
panel_HansolTechnicsCo__LtdHS238SB_A06,300,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.151075537768882,2.300434055950769,71.66099504657845
panel_HansolTechnicsCo__LtdHS238SB_A06,300,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.674937468734367,2.303929768439622,72.97683134768067
panel_HansolTechnicsCo__LtdHS238SB_A06,300,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.19879939969985,2.3074384426798433,74.2967475430041
panel_HansolTechnicsCo__LtdHS238SB_A06,300,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.70395197598799,2.3122866537381097,75.62091167856912
panel_HansolTechnicsCo__LtdHS238SB_A06,300,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.22781390695348,2.315806151453819,76.94917584508562
